"id_uc";"ano";"total_desmat"
30;2013;17303,02899999999
28;2017;29523,851000000017
36;2009;2715,5170000000016
18;2014;15550,979999999978
45;2016;23661,162
29;2019;32364,22999999999
34;2021;44493,15199999993
56;2008;6047,226999999999
4;2022;52429,266999999985
3;2019;32364,22999999999
55;2008;6047,226999999999
35;2008;6047,226999999999
20;2008;6047,226999999999
15;2016;23661,162
33;2018;24077,27100000001
12;2013;17303,02899999999
34;2012;6501,219
45;2015;19350,778
33;2013;17303,02899999999
57;2011;14891,858999999999
1;2022;52429,266999999985
44;2013;17303,02899999999
55;2018;24077,27100000001
55;2014;15550,979999999978
25;2014;15550,979999999978
9;2008;6047,226999999999
37;2013;17303,02899999999
32;2017;29523,851000000017
9;2020;34286,28700000002
36;2014;15550,979999999978
22;2022;52429,266999999985
30;2018;24077,27100000001
27;2017;29523,851000000017
33;2015;19350,778
17;2017;29523,851000000017
11;2011;14891,858999999999
17;2015;19350,778
7;2017;29523,851000000017
1;2016;23661,162
37;2018;24077,27100000001
21;2019;32364,22999999999
6;2013;17303,02899999999
12;2019;32364,22999999999
11;2021;44493,15199999993
41;2010;7631,897000000001
34;2014;15550,979999999978
7;2016;23661,162
15;2018;24077,27100000001
14;2020;34286,28700000002
4;2009;2715,5170000000016
17;2012;6501,219
10;2009;2715,5170000000016
57;2008;6047,226999999999
15;2020;34286,28700000002
17;2019;32364,22999999999
15;2010;7631,897000000001
42;2010;7631,897000000001
24;2013;17303,02899999999
26;2022;52429,266999999985
55;2016;23661,162
30;2020;34286,28700000002
1;2013;17303,02899999999
23;2014;15550,979999999978
22;2019;32364,22999999999
12;2022;52429,266999999985
45;2013;17303,02899999999
57;2014;15550,979999999978
10;2020;34286,28700000002
21;2020;34286,28700000002
5;2009;2715,5170000000016
25;2018;24077,27100000001
8;2009;2715,5170000000016
44;2015;19350,778
36;2013;17303,02899999999
30;2017;29523,851000000017
19;2019;32364,22999999999
6;2011;14891,858999999999
43;2013;17303,02899999999
43;2015;19350,778
5;2017;29523,851000000017
31;2013;17303,02899999999
41;2020;34286,28700000002
39;2019;32364,22999999999
20;2020;34286,28700000002
12;2015;19350,778
39;2020;34286,28700000002
39;2011;14891,858999999999
5;2020;34286,28700000002
29;2012;6501,219
57;2010;7631,897000000001
36;2018;24077,27100000001
55;2013;17303,02899999999
19;2016;23661,162
26;2012;6501,219
15;2021;44493,15199999993
24;2014;15550,979999999978
30;2015;19350,778
1;2012;6501,219
20;2016;23661,162
1;2008;6047,226999999999
23;2021;44493,15199999993
55;2017;29523,851000000017
56;2020;34286,28700000002
11;2017;29523,851000000017
37;2022;52429,266999999985
22;2017;29523,851000000017
12;2020;34286,28700000002
57;2017;29523,851000000017
57;2016;23661,162
25;2021;44493,15199999993
40;2011;14891,858999999999
43;2012;6501,219
37;2012;6501,219
19;2018;24077,27100000001
13;2010;7631,897000000001
6;2017;29523,851000000017
56;2009;2715,5170000000016
43;2016;23661,162
4;2018;24077,27100000001
42;2008;6047,226999999999
20;2022;52429,266999999985
14;2014;15550,979999999978
37;2016;23661,162
12;2012;6501,219
36;2012;6501,219
34;2015;19350,778
4;2013;17303,02899999999
32;2011;14891,858999999999
27;2011;14891,858999999999
54;2014;15550,979999999978
15;2022;52429,266999999985
5;2016;23661,162
34;2013;17303,02899999999
23;2019;32364,22999999999
27;2022;52429,266999999985
29;2017;29523,851000000017
38;2020;34286,28700000002
19;2008;6047,226999999999
